questionNumber;category;question;answer1;answer2;answer3;correctAnswerIndex;imageFileName
11;;“Cada usuario de la vía pública es responsable de una parte del tránsito.” ¿Es correcta ésta premisa?;No, porque los que tienen responsabilidad son aquellos que conducen cualquier tipo de vehículo;No, la responsabilidad la asumen aquellos que obtienen una licencia de conducir;Sí, porque se está obligado a no causar peligro ni entorpecer la circulación;2;
12;;“Como usuarios de la vía pública estamos obligados a no entorpecer injustificadamente la circulación y a no causar peligro, perjuicios o molestias innecesarias a las personas o daños a los bienes.” ¿Es correcta esta premisa?;Sí, independientemente del tipo de movilidad elegido;No, los peatones son usuarios de la vía pública y no están obligados;Sí pero sólo si estamos conduciendo un vehículo;0;
13;;Además de provocar víctimas fatales o lesionados graves, ¿Qué otras consecuencias puede generar un siniestro de tránsito?;Daños materiales, costos sanitarios y administrativos;Daños materiales y costos sanitarios;Sólo daños materiales;0;
14;;Todo usuario de la vía pública debe, como premisa básica…;Asumir la obligación de no entorpecer la circulación y no causar peligro, perjuicios o molestias innecesarias a las personas o daños a los bienes;Acreditar experiencia de manejo en vehículos por más de un año;Concurrir a cursos de actualización en temática vial, con una frecuencia no mayor a seis meses;0;
15;;Los ciclistas no están obligados a respetar todas las normas de tránsito, ya que no utilizan un vehículo que genera altas velocidades;Verdadero;Falso;;1;
16;;¿Qué Ley rige al momento de circular por la Ciudad de Buenos Aires?;La Ley Nacional N° 24.449;La Ley de la Ciudad N° 2.148;Ambas respuestas, la A y la B, son correctas;2;
17;;¿A qué se denomina Movilidad Sustentable?;Forma de trasladarnos de manera más efectiva, priorizando el uso del vehículo particular;Forma de trasladarnos de manera más rápida, independientemente del tipo de movilidad elegida;"Forma de trasladarnos de manera rápida, segura y ordenada haciendo hincapié en los peatones y ciclistas y contribuyendo a una mejor calidad ambiental";2;
18;;¿Cuáles son los dos principios básicos de todo sistema de tránsito en el mundo?;Velocidad y confort;Fluidez y seguridad;Comodidad y Agilidad;1;
19;;Indique cuál es la premisa correcta:;Al tener más alternativas de movilidad no motorizada, como el uso de bicicleta, mayor es la probabilidad de siniestralidad;Al disminuir la cantidad de vehículos particulares, mayor es la probabilidad de siniestralidad;A mayor cantidad de vehículos motorizados, mayor probabilidad de siniestralidad;2;
20;;Indique cuál de las siguientes situaciones conlleva mayor probabilidad de siniestralidad;Opción A;Opción B;Ambas respuestas, A y B, son correctas;1;
21;;Indique cuál de las siguientes situaciones conlleva mayor probabilidad de siniestralidad;Opción A;Opción B;Es indistinto;0;
22;;Indique cuál es la premisa correcta:;A menor cantidad de vehículos, mayor probabilidad de siniestralidad;A mayor cantidad de vehículos, menor probabilidad de siniestralidad;A menor cantidad de vehículos, menor probabilidad de siniestralidad;2;
23;;¿Cuál de las siguientes opciones representa a los usuarios de la vía, ordenados de más a menos vulnerable?;Camión – Colectivo – Moto – Ciclista – Peatón – Taxi/Automóvil;Peatón – Ciclista – Moto – Colectivo – Taxi/Automóvil – Camión;Peatón – Ciclista – Colectivo – Moto – Taxi/Automóvil – Camión;1;
24;;¿A qué medio de transporte corresponden todos los siguientes beneficios: ecológico, saludable, económico y rápido?;Opción A;Opción B;Opción C;0;
25;;¿Es aconsejable circular en bicicleta de esta manera?;Sí, porque está conduciendo correctamente;No, ya que utilizar auriculares es un factor de distracción que impide conectarse con lo que sucede alrededor;Sí, ya que tiene las medidas de seguridad necesarias y el uso de los auriculares permite mejorar la calidad del viaje;1;
26;;En cuanto a su indumentaria, ¿Cuál de los dos ciclistas presenta menor riesgo de sufrir un siniestro vial?;La opción A, ya que al tener ropa clara es más visible;Opción B, ya que al tener ropa oscura no genera distracciones en los demás conductores;Ambas opciones presentan el mismo riesgo por igual;0;
27;;¿Se puede circular en bicicleta por esta vía?;Sí, siempre que se mantenga en el carril derecho;No, está prohibido;Sí, mientras se respete la velocidad mínima de la arteria;1;
28;;¿Qué se debe evitar al circular en bicicleta?;Usar auriculares y dispositivos electrónicos, que afecten la concentración;Usar ropa oscura y suelta;Ambas respuestas, A y B, son correctas;2;
29;;¿Está permitido llevar carga en una bicicleta?;Sí, lo único que se debe tener en cuenta es que no comprometa la visibilidad;No, está prohibido ya que puede desestabilizar la bicicleta;Sí, debe estar firmemente asegurada, permitiendo maniobrar y no perder la estabilidad;2;
30;;El ciclista, ¿tiene permitido llevar un pasajero?;Sí, únicamente si no compromete la visibilidad;Sí, mientras que esté ubicado en un asiento adicional detrás del conductor;Ambas respuestas, A y B, son incorrectas;1;
31;;¿Está permitido estacionar una bicicleta en este lugar?;No, los estacionamientos son exclusivos para usuarios de autos y motos;Sólo en algunos estacionamientos está permitido;Sí, los estacionamientos están obligados a destinar un espacio para bicicletas;2;
32;;Un menor de 12 años puede circular en bicicleta por…;La calle, acompañado de un adulto mayor de 18 años;Por la vereda, a la menor velocidad posible;Ambas respuestas, A y B, son correctas;2;
33;;¿Cuál es la velocidad máxima permitida para circular con una bicicleta con asistencia eléctrica?;La velocidad máxima permitida en la vía donde se encuentra la ciclovía;25 km/h;30 km/h;1;
34;;¿Qué distancia lateral debe dejar respecto de este ciclista en caso de querer adelantarlo?;Al menos, un metro y medio;Al menos, medio metro;Lo suficiente para no tocarlo;0;
35;;¿Por dónde deben circular los ciclistas en esta calle?;No pueden hacerlo. Únicamente deben circular por ciclovías o bicisendas y los menores de 12 años por la vereda;Cerca del borde derecho de la calzada;Cerca del borde izquierdo de la calzada;1;
36;;¿Por qué sector de una calle sin demarcación deben circular los ciclistas cuando no existen ciclovías o bicisendas?;Cerca del borde derecho de la calzada;Cerca del borde izquierdo de la calzada;No pueden circular. Únicamente pueden hacerlo por ciclovías o bicisendas y los menores de 12 años por la vereda;0;
37;;¿Por dónde tienen permitida la circulación los ciclistas mayores de 12 años?;Por bicisendas y ciclovías, en aquellos tramos de arterias donde estén presentes;En aquellas vías sin ciclovías deben circular por el sector derecho de la calzada, a excepción de autopistas y otras vías rápidas, donde se encuentra prohibida su circulación;Ambas respuestas, la A y la B, son correctas;2;
38;;¿Qué indica esta seña?;Giro a la izquierda;Adelantamiento por la izquierda;Detenerse;0;
39;;¿Qué indica esta seña?;Adelantamiento por la derecha;Giro a la derecha;Detenerse;1;
40;;¿Qué indica esta seña?;Giro a la izquierda;Adelantamiento por la izquierda;Detenerse;2;
41;;La circulación de un vehículo de dos ruedas suele ser más riesgosa porque…;Puede circular a más velocidad que los automóviles;La posición del conductor es más elevada que en un automóvil;Por su tamaño, es menos visible;2;
42;;Si usted pretende cruzar esta intersección, ¿hacia qué lado debe mirar?;Hacia la derecha;Hacia la izquierda;Hacia ambos lados;2;
43;;¿Este ciclorodado con pedaleo asistido eléctricamente (bicicleta eléctrica) puede circular por este carril?;No, ya que la circulación de este tipo de vehículos en la vía pública se encuentra prohibida;Sí, sólo si su potencia disminuye progresivamente hasta interrumpirse al alcanzar una velocidad máxima de 25 km/h;No, sólo pueden circular por vías donde no haya ciclovías;1;
44;;En esta situación, ¿es correcto que el vehículo avance?;Sí, porque por allí no circulan peatones y no hay peligro;No, porque aún hay peatones cruzando de un lado al otro de la arteria;Sí, aunque haya peatones cruzando tiene el espacio suficiente para avanzar;1;
45;;¿Cómo debe proceder, si al llegar a esta intersección, se desea continuar en línea recta?;Detener el vehículo para que el peatón termine de cruzar y, antes de avanzar, hacer contacto visual con los peatones que aún no comenzaron a cruzar, aun sabiendo que obstruiré por un momento la bocacalle;Avanzar porque la luz verde del semáforo me habilita pero tocando bocina para que los peatones no se distraigan. Es importante no obstruir la bocacalle;;0;
46;;Desde el punto de vista del conductor frente a esta situación, ¿cuál es la acción adecuada?;Esquivar a la peatona y tocarle bocina para que no se distraiga;Frenar y esperar a que termine de cruzar la peatona, aun sabiendo que el vehículo pueda obstaculizar el flujo vehicular;;1;
47;;Dadas las características de esta intersección, ¿el peatón también tiene prioridad?;No, pero si el peatón se encuentra cruzando, el conductor debe dejarlo pasar para no producir un siniestro vial;Sí, siempre;;1;
48;;Frente a la siguiente situación, ¿Qué actitud debe tomar usted como conductor?;Hacer contacto visual con la peatona y en el caso de que comience a cruzar cederle el paso;Avanzar ya que se tiene prioridad sobre la peatona por circular desde la derecha;Ambas respuestas, la A y la B, son incorrectas;0;
49;;Si Ud. es el conductor del vehículo, ¿Qué conducta debe adoptar en la siguiente situación?;Priorizar la circulación del peatón, indefectiblemente;Realizar una guiñada para advertir su preferencia de avance;Completar la maniobra como sea posible, para disminuir su tiempo de permanencia sobre la vereda;0;
50;;En esta intersección, ¿Quién tiene prioridad de paso?;El peatón;El conductor;Es indistinto;0;
51;;Cuando no hay demarcación de la senda peatonal, ¿por dónde deben cruzar los peatones?;Es indistinto, siempre que miren a ambos lados antes de hacerlo;En coincidencia con las paradas de transporte;Por la esquina, por la prolongación longitudinal de la vereda sobre la calle;2;
52;;Como conductor, observa que esta luz se encuentra intermitente, ¿Qué debería esperar que haga el peatón?;Que no comience a cruzar la calzada;Si inició el cruce, que lo finalice con mucha precaución;Ambas respuestas, la A y la B son correctas;2;
53;;¿La autoridad de tránsito puede retener la licencia de conducir al conductor de un vehículo, que no sea colectivo o de emergencia, por encontrarse circulando por este carril?;Sí, ya que constituye una falta de tránsito que amerita esa sanción;Sólo si perjudica la circulación de los colectivos;Nunca, ya que la licencia de conducir es un documento personal. Sólo puede labrar un acta de infracción;0;
54;;¿Qué indica la señal horizontal de color rojo que se encuentra demarcada sobre la calzada?;Cruce de Metrobús;Cruce exclusivo de vehículos de emergencia;Cruce de bicicletas;0;
55;;¿Qué indica la señal horizontal que se encuentra demarcada sobre la calzada?;Carril exclusivo de colectivo de pasajeros;Cruce exclusivo de vehículos de emergencia;Ceda el paso;0;
56;;El auto señalizado con un círculo rojo, ¿tiene permitido girar a la derecha en el próximo cruce?;Sí, siempre que señalice la maniobra con anticipación;No, ya que para realizarlo debería invadir los carriles exclusivos;Sólo si lo realiza fuera del horario de restricción de los carriles exclusivos;2;
57;;¿Qué significa la demarcación horizontal que se visualiza en la imagen?;Cruce peligroso por tener poca iluminación;Senda peatonal próxima a centros de salud;Senda peatonal próxima a zona escolar;2;
58;;¿Qué indica la demarcación horizontal que se visualiza en la imagen?;Estacionamiento para micros escolares;Carril de detención para el ascenso y descenso de escolares;Zona de ascenso y descenso de pasajeros de transporte público;1;
59;;La siguiente imagen corresponde a:;Calle Prioridad Peatón;Calle con Intervención Peatonal;Calle con Bicisenda;0;
60;;Las intervenciones horizontales señaladas, sirven para…:;Incrementar la seguridad de los peatones;Promover la movilidad vehicular;Colaborar con la rapidez en la movilidad;0;
61;;¿Cómo se denomina la intervención de color amarillo que se visualiza en la imagen?;Intervención Peatonal;Intervención Vehicular;Intervención de la Calzada;0;
62;;¿Para qué sirve la demarcación horizontal de color amarillo que se visualiza en la imagen?;Ampliar la zona permitida de estacionamiento para motos;Reducir la velocidad y radio de giro de los vehículos;Ampliar la zona permitida de estacionamiento para vehículos de emergencia;1;
63;;En la imagen se muestra un cruce exclusivo para ciclistas;Verdadero;Falso;;1;
64;;¿Qué indica el siguiente cruce verde en las intersecciones?;Advierte a los conductores sobre la existencia de un punto de cruce de ciclovía o bicisenda;Advierte a los conductores sobre la existencia de un establecimiento escolar cercano;Advierte a los conductores sobre un cruce peligroso por tener poca iluminación;0;
65;;¿Qué indica esta demarcación horizontal verde?;Que en esa intersección hay una ciclovía o bicisenda;Que se aproxima a un cruce ferroviario;Que es un cruce exclusivo de peatones;0;
66;;¿Cuál de las siguientes imágenes muestra una bicisenda?;Opción A;Opción B;Opción C;1;
67;;¿Cuál de las siguientes imágenes muestra una ciclovía?;Opción A;Opción B;Opción C;0;
68;;¿Cuál es la principal diferencia entre bicisendas y ciclovías?;La bicisenda es de uso exclusivo de bicicletas y la ciclovía de uso preferencial;La bicisenda se encuentra sobre la calzada y la ciclovía sobre la vereda;La bicisenda se encuentra sobre la vereda y la ciclovía sobre la calzada;2;
69;;¿Qué es una ciclovía?;Sector señalizado especialmente en la calzada para la circulación con carácter preferente de ciclorodados (bicicletas) y dispositivos de movilidad personal;Sector de la calzada señalizado especialmente con una separación física o demarcación horizontal para la circulación exclusiva de ciclorodados (bicicletas) y dispositivos de movilidad personal;Sector señalizado y especialmente acondicionado en aceras y espacios verdes para la circulación de ciclorodados (bicicletas) y dispositivos de movilidad personal;2;
70;;¿Qué debe hacer usted si su vehículo queda inmovilizado en un túnel?;Dejar el vehículo cerrado y salir del túnel cuanto antes;Apagar todas las luces si el túnel está iluminado y solicitar auxilio a través del teléfono móvil;Apagar el motor, colocar las balizas portátiles, mantener encendidas las luces de posición e intermitentes y llamar al número de asistencia;2;
71;;En caso de participar de un siniestro vial en una avenida, es recomendable señalizar la zona para que no se produzcan más incidentes viales;Verdadero;Falso;;0;
72;;En caso de un siniestro vial en este tipo de calle, ¿cómo es recomendable señalizar la zona del vehículo inmovilizado?;Se deben encender las luces bajas y, en lo posible, colocar balizas portátiles delante y detrás del mismo;Se deben encender las luces altas y, en lo posible, colocar balizas portátiles detrás del mismo;Se deben encender las balizas y, en lo posible, colocar balizas portátiles del lado de donde provienen los vehículos a una distancia adecuada del vehículo;2;
73;;En el caso de que un vehículo quede inmovilizado por un siniestro vial o desperfecto mecánico en los carriles marcados de esta vía, ¿qué es recomendable hacer?;Colocar las balizas portátiles, ponerse a resguardo detrás de una defensa si las hubiere y llamar al número de emergencia de la Autopista;Descender del vehículo usando un chaleco reflectante para hacer señas al resto de los vehículos y llamar al número de emergencia de la Autopista;Permanecer dentro del vehículo con el cinturón de seguridad abrochado, encender las balizas y llamar al número de emergencia de la Autopista;2;
74;;En caso de un siniestro vial o desperfecto mecánico, ¿qué es recomendable hacer cuando el vehículo queda inmovilizado en el sector señalado?;Encender las luces intermitentes, colocar las balizas portátiles y llamar al número de emergencia de la Autopista;Descender del vehículo usando un chaleco reflectante y ponerse a resguardo detrás de una defensa si las hubiere;Ambas respuestas, la A y la B, son correctas;2;
75;;En un procedimiento judicial de un siniestro vial, al ser convocados en carácter de testigo, no es obligatorio presentarse a declarar en la Fiscalía correspondiente;Verdadero;Falso;;1;
76;;La persona que se da a la fuga en un siniestro vial, dejando a alguien herido, puede ser juzgada por el delito de abandono de persona;Verdadero;Falso;;0;
77;;En caso de participar de un siniestro vial, ¿de cuánto tiempo se dispone para dar aviso sobre el hecho a la compañía aseguradora del vehículo?;24 horas;48 horas;72 horas;2;
78;;En caso de participar en un siniestro vial, en el que resultaron personas heridas, el personal policial que acuda al lugar se encargará de preservar la escena del hecho, brindando los medios para que los servicios de emergencia atiendan a los heridos y resguardando los vehículos y otras pruebas del incidente para una adecuada resolución del caso;Verdadero;Falso;;0;
79;;En caso de participar en un siniestro vial, ¿qué es recomendable hacer como primer paso?;Detenerse inmediatamente y permanecer en el lugar del hecho;Conducir hasta la comisaría más cercana;Llamar al 911 y continuar el viaje;0;
80;;En caso de siniestro, el orden de actuación recomendado es…;Alertar – Socorrer – Proteger;Proteger – Alertar – Socorrer;Socorrer – Proteger – Alertar;1;
81;;¿Cuáles son los números de emergencia que todo usuario de la vía pública debe conocer con el objetivo de poder llamar y pedir ayuda ante el acontecimiento de algún incidente?;911 y 109;103 y 107;107 y 911;2;
82;;En caso de participar en un siniestro vial, es recomendable que quien llame por teléfono al servicio de emergencias (107), indique con claridad:;Lugar del hecho, características del incidente, cantidad y estado de las víctimas;Lugar del hecho, número de dominio de los vehículos involucrados, cantidad y estado de las víctimas;Únicamente lugar del hecho para ganar tiempo y que el servicio de emergencia llegue lo más rápido posible;0;
84;;¿Quién es el responsable civil por un incidente de tránsito producido por un menor de edad poseedor de una licencia de conducir?;El que firmó la autorización para obtener la licencia;El que lo acompaña;El que le autorizó el uso del vehículo;0;
85;;En materia de Responsabilidad Civil, ¿qué es lo que se considera como factor determinante para dar inicio a una demanda?;La intención de la conducta dañosa;La existencia de un daño real, que afecte a algún particular, provocado como consecuencia del incidente;Los antecedentes de la persona que provoca el daño;1;
86;;Frente a un incidente de tránsito, ¿puede transferirse la Responsabilidad Penal del conductor de un vehículo al dueño del mismo?;No, porque la responsabilidad penal es intransferible;Sí. Además, del dueño también puede transferirse a la Compañía de Seguros;Lo resolverá el Juez, en función de la gravedad del incidente y sus consecuencias;0;
87;;En un incidente de tránsito, ¿qué significa que el conductor sea considerado responsable por negligencia?;Que no ha respondido adecuadamente a una circunstancia del tránsito por falta de práctica en la conducción;Que ha realizado un acto con su vehículo que las reglas de prudencia indican no hacer, o sea, que ha actuado peligrosamente;Que ha actuado no conforme a las exigencias de la Ley;2;
88;;Frente a un control de tránsito en CABA, si la autoridad realiza una infracción ante una falta cometida por un conductor, ¿dónde puede efectuarse el pago de la multa por dicha infracción;En ese mismo momento y ante la Autoridad de Control si ésta lo requiere;Ante la oficina de la Dirección General de Administración de Infracciones que corresponda;Ambas respuestas, la A y B, son correctas;1;
89;;Al tener la licencia vencida, ¿por cuánto tiempo puede seguir conduciendo sin estar en infracción?;30 días corridos desde su vencimiento;Hasta las 00 horas del día de cumpleaños;No está permitido conducir con la licencia vencida, excepto que el vencimiento fuese un día inhábil, en cuyo caso se traslada al día hábil siguiente;2;
90;;En caso de comprobar una falta, ¿puede un agente de tránsito retener la licencia de conducir?;No, porque es un documento personal;Sólo en los casos que la normativa vigente así lo indique;Sólo en casos de incidentes que involucren a terceros;1;
91;;Cuando se vence la licencia de conducir, ¿cuánto tiempo puede transcurrir para su renovación antes de que se necesite tramitarla como si fuese un otorgamiento?;30 días corridos desde su vencimiento;Para que se la pueda renovar, siempre debe hacerse antes de su vencimiento. Una vez vencida se la debe tramitar como licencia nueva;No debe superar el año desde su vencimiento;2;
92;;¿Cuánto dura en su totalidad la condición de principiante?;2 años, sólo en el caso de los menores de 21 años de edad;6 meses, sólo para quien la tramita por primera vez;2 años, independientemente a la edad;2;
93;;Con esta documentación, ¿quién está autorizado a conducir el vehículo?;Nadie, porque está vencida y debe renovarse;Sólo el titular;El titular y sus familiares directos, por tener el mismo apellido;1;
94;;¿Cuántas “cédulas para autorizados a conducir” podrán otorgarse para un mismo vehículo?;Sólo una;La cantidad que solicite el titular del vehículo;Hasta cinco;1;
95;;¿Se puede manejar un vehículo con “cédula para autorizado a conducir” a nombre de otra persona?;Siempre y cuando se encuentre vigente;Sólo si es un familiar directo o tiene una relación laboral;En ningún caso;2;
96;;El certificado del seguro de responsabilidad civil es obligatorio llevarlo ÚNICAMENTE cuando se conduce por vías interurbanas;Verdadero;Falso;;1;
97;;Todo vehículo debe estar cubierto por un seguro, ¿qué daños mínimamente debe cubrir?;Eventuales daños causados a terceros transportados únicamente;Eventuales daños causados a terceros transportados o no;Daños causados a los vehículos únicamente;1;
98;;¿Está permitido circular con la placa de dominio de este modo?;Sí, ya que exhibe una documentación provisoria;No, ya que para poder cumplir su función como provisoria debe ampliarse;No, ya que debe estar colocada en el lugar y de forma reglamentaria;2;
99;;Al sufrir la pérdida de la placa de dominio de un vehículo, ¿dónde se puede solicitar su reposición?;Se la puede solicitar en cualquier establecimiento comercial que la realice;Se la debe solicitar en el Registro Nacional de la Propiedad del Automotor que corresponde al vehículo;Ambas respuestas, la A y la B, son correctas;1;
100;;La ubicación y posición de las placas de dominio del vehículo, ¿puede sufrir algún tipo de modificación?;Sólo pueden, eventualmente, ampliarse para mejorar su visibilidad;No, deben estar colocadas en el lugar y de forma reglamentaria;Sólo está prohibido modificar la placa de dominio trasera, no así la delantera;1;
101;;¿Cuál es el objetivo de la Verificación Técnica Vehicular?;Reducir la contaminación y mejorar la calidad del medio ambiente;Garantizar el cumplimiento de las normas de seguridad de los vehículos;Ambas respuestas, la A y la B, son correctas;2;
102;;¿Cuál de las siguientes opciones está directamente vinculada a la prevención y reducción de siniestros viales?;Opción A;Opción B;Ambas respuestas, A y B, son correctas;1;
103;;Según Ley N°2265, ¿Cuándo debe realizar la primer VTV un automóvil 0km radicado en CABA?;Pasados los 3 años de antigüedad, en el mes que le corresponda, o superados los 60.000 km;Inmediatamente al retirarlo de la agencia;En el mes que le corresponda, inmediatamente seguido al año transcurrido;0;
104;;En el caso de tener que realizar una reverificación de la VTV, por motivos de una desaprobación original, ¿cuál es el plazo de tiempo para que ésta sea gratuita?;No hay plazo. Si llegase a desaprobar se deberá volver a abonar el arancel correspondiente, aunque se realice al otro día;Si se realiza dentro de los 60 días corridos a partir de efectuada la verificación;Si se realiza dentro de los 60 días hábiles de efectuada la verificación;2;
105;;¿Cuál dígito de la siguiente placa de dominio indica el mes en que se debe realizar la Verificación Técnica Vehicular?;El número 1;La letra D;El número 3;2;
106;;¿En qué mes del año debe realizar la Verificación Técnica Vehicular el vehículo que porte esta placa de dominio?;Enero;Febrero;Marzo;2;
107;;¿En qué mes del año debe realizar la Verificación Técnica Vehicular el vehículo que porte esta placa de dominio?;Enero;Julio;Diciembre;1;
108;;Según el Sistema de Evaluación Permanente de Conductores (Scoring), ¿cuántos puntos se otorgan al conductor que obtiene la licencia de conducir por primera vez?;10 puntos;20 puntos;5 puntos;1;
109;;¿En qué consiste el Sistema de Evaluación Permanente de Conductores (Scoring)?;En la asignación de un puntaje para cada conductor, al que se le irá restando puntos por infracciones cometidas;La obligación de los conductores a realizar un curso vial anual;Ambas respuestas, la A y la B, son incorrectas;0;
110;;¿Consumir cuál de estas sustancias pueden afectar la capacidad para conducir?;Las drogas ilegales y algunas legales (como el alcohol y algunos medicamentos);Sólo las drogas ilegales;Todo tipo de drogas (las legales e ilegales);0;
111;;La persona que conduce bajo los efectos de estupefacientes…;Se pone en grave riesgo a sí mismo y a todos los que lo rodean;Sólo pone en riesgo su propia vida;Al estar desinhibido, asume menos riesgos;0;
112;;¿Cuál de estas sustancias pueden afectar negativamente la capacidad de conducir?;Todos los medicamentos, de venta libre, que no necesitan receta;Todos los medicamentos con efectos sedantes;Ambas respuestas, la A y la B, son correctas;1;
113;;El consumo de medicamentos, ¿puede afectar la capacidad de conducir?;Siempre;Nunca;Depende del tipo de medicamento;2;
114;;"Por los efectos que provoca, el consumo de drogas ilegales no está permitido al momento de conducir. Por el contrario, las drogas legales nunca afectan negativamente la capacidad de conducir";Verdadero;Falso;;1;
115;;Cuando se consume alcohol, ¿se pueden producir alteraciones en la visión?;Sí;No, solamente afecta a la capacidad motora;Sólo cuando se tiene más de 1 gramo de alcohol por litro de sangre;0;
116;;Una vez que dejó de ingerir alcohol, ¿qué sucede con la concentración de alcohol que tiene en su organismo?;Comienza a disminuir de forma inmediata;Continúa subiendo durante 1 hora y luego comienza a descender paulatinamente;Se mantiene en el mismo valor durante 1 hora y luego comienza a descender;1;
117;;Consumir cerveza influye en la conducción de un vehículo, haciendo que el conductor reduzca su capacidad de reacción y aumentando el tiempo necesario para responder ante un estímulo;Verdadero;Falso;;0;
118;;Conducir al día siguiente de una noche de consumo excesivo de alcohol es riesgoso porque:;Los efectos del alcohol no terminan con la ingesta, sino que se extienden hasta haberlo eliminado del organismo;Conducir con resaca es equiparable, por sus efectos en el organismo, a conducir alcoholizado;Ambas respuestas, la A y la B, son correctas;2;
119;;¿La resaca tiene efectos en el organismo que puedan afectar la conducción?;Sí, pero sólo cuando la bebida alcohólica que se ingirió tiene un alto grado de concentración;No, el nivel de alcohol se ve reducido en cuestión de horas, por ello conducir con resaca no altera las percepciones;Sí, puede afectar la coordinación, la atención y el tiempo de reacción;2;
120;;¿Es peligroso conducir con resaca?;Sí, es peligroso porque tiene efectos en el organismo;No, ya que los efectos del alcohol aparecen durante las primeras horas de su ingesta;No, ya que los efectos de la resaca no intervienen en la conducción;0;
121;;Si un conductor de un automóvil particular obtiene el siguiente resultado en un control de alcoholemia realizado en la Ciudad Autónoma de Buenos Aires, ¿cómo debe proceder la autoridad de control de tránsito?;Sancionar la falta administrativa y contravencional, retener la licencia de conducir y remitir el vehículo;Esperar un tiempo prudencial y realizar una contraprueba, a la espera de que descienda la graduación alcohólica;Darle la opción al conductor de llamar a un tercero para que se haga responsable de la conducción del vehículo;0;
122;;Si el conductor de un vehículo se niega a realizar este test, ¿constituye ésto una falta?;Sólo si se ha participado de un siniestro vial;No. Sólo la prueba positiva, efectivamente realizada, se considera una falta;Sí, la misma se toma como una presunción de alcoholemia positiva;2;
123;;Frente a la negativa por parte del conductor a realizar una prueba de alcoholemia, ¿el agente de control podrá prohibirle continuar conduciendo?;Sí, ya que se presume el estado de alcoholemia positiva;Sí, deberá ordenar la remoción del vehículo;Ambas respuestas, la A y la B, son correctas;2;
124;;De acuerdo al siguiente símbolo, ¿por cuánto tiempo tiene prohibido conducir con más de 0,0 gramos de alcohol por litro de sangre el conductor de este vehículo?;2 años;1 año;6 meses;0;
125;;De acuerdo al símbolo que exhibe, ¿cuál es el nivel máximo de alcoholemia admitido para el conductor de este vehículo?;0,5 gramos de alcohol por litro de sangre;0,0 gramos de alcohol por litro de sangre;0,2 gramos de alcohol por litro de sangre;1;
125;;De acuerdo al símbolo que exhibe, ¿cuál es el nivel máximo de alcoholemia admitido para el conductor de este vehículo?;0,5 gramos de alcohol por litro de sangre;0,0 gramos de alcohol por litro de sangre;0,2 gramos de alcohol por litro de sangre;0;
126;;¿Cada cuánto tiempo es recomendable parar si se realiza un viaje largo?;Cada 2 horas aproximadamente;Cada 4 horas aproximadamente;Cada 1 hora aproximadamente;0;
127;;Si se va a conducir por un largo tiempo, lo recomendable es dormir la noche anterior…;Aproximadamente 8 horas;Al menos 4 horas;Algunas horas, su cantidad no influye en la conducción ya que lo importante es realizar paradas de descanso;0;
